Id,ErpExternalId,Level,NameNl,NameFr,NameEn,SlugNl,SlugFr,SlugEn,ParentId,SortOrder,IsActive,CreatedAt,UpdatedAt,CreatedBy,UpdatedBy
47,RAPID_moyeu-de-roue-fixation_ff6cb5,Type,Moyeu de roue / fixation,Moyeu de roue / fixation,Moyeu de roue / fixation,moyeu-de-roue-fixation,moyeu-de-roue-fixation,moyeu-de-roue-fixation,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
48,RAPID_moyeu_31ba7f,Type,Moyeu,Moyeu,Moyeu,moyeu,moyeu,moyeu,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
49,RAPID_dispositif-de-freinage_68fb32,Type,Dispositif de freinage,Dispositif de freinage,Dispositif de freinage,dispositif-de-freinage,dispositif-de-freinage,dispositif-de-freinage,,0,1,2026-08-10 09:29:31,2026-08-10 09:29:31,System,System
50,RAPID_filtre_c8c8af,Type,Filtre,Filtre,Filtre,filtre,filtre,filtre,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
51,RAPID_carter-d-huile-et-pi-ces-de-mo_e3af3e,Type,Carter d'huile et pièces de montage,Carter d'huile et pièces de montage,Carter d'huile et pièces de montage,carter-d-huile-et-pi-ces-de-montage,carter-d-huile-et-pi-ces-de-montage,carter-d-huile-et-pi-ces-de-montage,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
52,RAPID_pompe-eau_9279c5,Type,Pompe à eau,Pompe à eau,Pompe à eau,pompe-eau,pompe-eau,pompe-eau,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
53,RAPID_accessoires_53e5c6,Type,Accessoires,Accessoires,Accessoires,accessoires,accessoires,accessoires,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
54,RAPID_avertisseur-sonore-trompette_558079,Type,Avertisseur sonore / trompette,Avertisseur sonore / trompette,Avertisseur sonore / trompette,avertisseur-sonore-trompette,avertisseur-sonore-trompette,avertisseur-sonore-trompette,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
55,RAPID_carter-d-huile_15b5cf,Type,Carter d'huile,Carter d'huile,Carter d'huile,carter-d-huile,carter-d-huile,carter-d-huile,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
56,RAPID_commande-d-embrayage_8d6296,Type,Commande d'embrayage,Commande d'embrayage,Commande d'embrayage,commande-d-embrayage,commande-d-embrayage,commande-d-embrayage,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
57,RAPID_joint-thermostat_7ff338,Type,Joint/Thermostat,Joint/Thermostat,Joint/Thermostat,joint-thermostat,joint-thermostat,joint-thermostat,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
58,RAPID_cha-ne-de-distribution_f8c596,Type,Chaîne de distribution,Chaîne de distribution,Chaîne de distribution,cha-ne-de-distribution,cha-ne-de-distribution,cha-ne-de-distribution,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
59,RAPID_alimentation-en-air_27b721,Type,Alimentation en air,Alimentation en air,Alimentation en air,alimentation-en-air,alimentation-en-air,alimentation-en-air,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
60,RAPID_pompe-eau-joint_bacaea,Type,Pompe à eau / joint,Pompe à eau / joint,Pompe à eau / joint,pompe-eau-joint,pompe-eau-joint,pompe-eau-joint,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
61,RAPID_alternateur-composants_917c63,Type,Alternateur / composants,Alternateur / composants,Alternateur / composants,alternateur-composants,alternateur-composants,alternateur-composants,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
62,RAPID_commande-courroie_03ff84,Type,Commande à courroie,Commande à courroie,Commande à courroie,commande-courroie,commande-courroie,commande-courroie,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
63,RAPID_radiateur-d-eau-composants_96e9ef,Type,Radiateur d'eau/composants,Radiateur d'eau/composants,Radiateur d'eau/composants,radiateur-d-eau-composants,radiateur-d-eau-composants,radiateur-d-eau-composants,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
64,RAPID_cache-soupape_d5dc7f,Type,Cache-soupape,Cache-soupape,Cache-soupape,cache-soupape,cache-soupape,cache-soupape,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
65,RAPID_bo-tier-filtre-carburant_c71be5,Type,Boîtier/filtre à carburant,Boîtier/filtre à carburant,Boîtier/filtre à carburant,bo-tier-filtre-carburant,bo-tier-filtre-carburant,bo-tier-filtre-carburant,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
66,RAPID_ressorts-pneumatiques_63bd89,Type,Ressorts pneumatiques,Ressorts pneumatiques,Ressorts pneumatiques,ressorts-pneumatiques,ressorts-pneumatiques,ressorts-pneumatiques,,0,1,2026-08-10 12:44:32,2026-08-10 12:44:32,System,System
67,RAPID_bo-tier-de-filtres-huile-joint_fb86cb,Type,Boîtier de filtres à huile / joint,Boîtier de filtres à huile / joint,Boîtier de filtres à huile / joint,bo-tier-de-filtres-huile-joint,bo-tier-de-filtres-huile-joint,bo-tier-de-filtres-huile-joint,,0,1,2026-08-10 12:44:32,,,
68,RAPID_but-e-d-embrayage-but-e-hydrau_98d618,Type,Butée d’embrayage/butée hydraulique,Butée d’embrayage/butée hydraulique,Butée d’embrayage/butée hydraulique,but-e-d-embrayage-but-e-hydraulique,but-e-d-embrayage-but-e-hydraulique,but-e-d-embrayage-but-e-hydraulique,,0,1,2026-08-10 12:44:32,,,
69,RAPID_bougie-d-allumage_dab877,Type,Bougie d'allumage,Bougie d'allumage,Bougie d'allumage,bougie-d-allumage,bougie-d-allumage,bougie-d-allumage,,0,1,2026-08-10 12:44:32,,,
70,RAPID_commande-amortisseurs-bo-tiers_079a8b,Type,Commande / Amortisseurs / Boîtiers,Commande / Amortisseurs / Boîtiers,Commande / Amortisseurs / Boîtiers,commande-amortisseurs-bo-tiers,commande-amortisseurs-bo-tiers,commande-amortisseurs-bo-tiers,,0,1,2026-08-10 15:00:09,,,
71,RAPID_pompe---eau-essuie-glaces_c57882,Type,Pompe-à-eau / essuie-glaces,Pompe-à-eau / essuie-glaces,Pompe-à-eau / essuie-glaces,pompe---eau-essuie-glaces,pompe---eau-essuie-glaces,pompe---eau-essuie-glaces,,0,1,2026-08-10 15:00:09,,,
72,RAPID_fixation-de-radiateur_6ff0ad,Type,Fixation de radiateur,Fixation de radiateur,Fixation de radiateur,fixation-de-radiateur,fixation-de-radiateur,fixation-de-radiateur,,0,1,2026-08-10 15:00:09,,,
73,RAPID_conduites-de-frein_8480fb,Type,Conduites de frein,Conduites de frein,Conduites de frein,conduites-de-frein,conduites-de-frein,conduites-de-frein,,0,1,2026-08-10 15:00:09,,,
